Swiss food composition database – Generic foods V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyms,Category,Density,Matrix unit,"Energy, kilojoules (kJ)",Derivation of value,Source,"Energy, kilocalories (kcal)",Derivation of value,Source,"Fat, total (g)",Derivation of value,Source,"Fatty acids, saturated (g)",Derivation of value,Source,"Fatty acids, monounsaturated (g)",Derivation of value,Source,"Fatty acids, polyunsaturated (g)",Derivation of value,Source,Cholesterol (mg),Derivation of value,Source,"Carbohydrates, available (g)",Derivation of value,Source,Sugars (g),Derivation of value,Source,Starch (g),Derivation of value,Source,Dietary fibres (g),Derivation of value,Source,Protein (g),Derivation of value,Source,Salt (NaCl) (g),Derivation of value,Source,Alcohol (g),Derivation of value,Source,Wasser (g),Derivation of value,Source,"Vitamin A activity, RE (µg-RE)",Derivation of value,Source,"Vitamin A activity, RAE (µg-RE)",Derivation of value,Source,All-trans retinol equivalents (µg-RE),Derivation of value,Source,Beta- carotene activity (µg-BCE),Derivation of value,Source,Beta-carotene (µg),Derivation of value,Source,Vitamin B1 (thiamine) (mg),Derivation of value,Source,Vitamin B2 (riboflavin) (mg),Derivation of value,Source,Vitamin B6 (pyridoxine) (mg),Derivation of value,Source,Vitamin B12 (cobalamin) (µg),Derivation of value,Source,Niacin (mg),Derivation of value,Source,Folate (µg),Derivation of value,Source,Panthotenic acid (mg),Derivation of value,Source,Vitamin C (ascorbic acid) (mg),Derivation of value,Source,Vitamin D (calciferol) (µg),Derivation of value,Source,Vitamin E activity (mg-ATE),Derivation of value,Source,Potassium (K) (mg),Derivation of value,Source,Sodium (Na) (mg),Derivation of value,Source,Chloride (Cl) (mg),Derivation of value,Source,Calcium (Ca) (mg),Derivation of value,Source,Magnesium (Mg) (mg),Derivation of value,Source,Phosphorus (P) (mg),Derivation of value,Source,Iron (Fe) (mg),Derivation of value,Source,Iodide (I) (µg),Derivation of value,Source,Zinc (Zn) (mg),Derivation of value,Source,Selenium (Se) (µg),Derivation of value,Source,Record has changed
10533,,,Agar Agar,,Various/Gelling and binding agents,,per 100g edible portion,641,Automated calculation,,160,Automated calculation,,0.2,-,1473,n.d.,,,n.d.,,,n.d.,,,n.d.,,,0,-,1473,n.d.,,,n.d.,,,74.1,-,1473,2.4,-,1473,0.3,Automated calculation,,n.d.,,,20.5,-,1473,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,52,-,1473,130,-,1473,n.d.,,,660,-,1473,100,-,1473,34,-,1473,4.5,-,1473,n.d.,,,1.5,-,1473,n.d.,,,Nein
10536,,,Agave syrup,,Sweets/Sugar and sweeteners,,per 100g edible portion,1240,Automated calculation,,293,Automated calculation,,0,-,1476;1477,n.d.,,,n.d.,,,n.d.,,,n.d.,,,73.1,-,1476;1477,n.d.,,,n.d.,,,0,Estimation,1408,0.2,-,1476;1477,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,Nein
273,4500,841005,Almond,,"Nuts, seeds and oleaginous fruit",,per 100g edible portion,2450,Automated calculation,,593,Automated calculation,,49.9,-,1631,3.8,-,1631,31.6,-,1631,13.3,-,1631,1,-,43,4,-,81,3.9,-,156,4,-,81,13,-,141,25.5,Estimation,1662,0,Automated calculation,,0,Estimation,51,11.7,-,81,0,Automated calculation,,0,Automated calculation,,0,Estimation,51,0,Estimation,51,0,-,103,0.19,-,81;1672,0.44,-,81,0.15,-,81,0,-,43,2.1,-,81,48,-,81,0.46,-,43;1672,tr.,-,81,0,-,81,29.61,Automated calculation,,760,-,81;1542,1.3,-,43;1542,40,-,8,270,-,141;1542,240,-,141;1542,510,-,81;1542,4.8,-,141;1542,2,-,43,6,-,141,n.d.,,,Nein
278,4123,841012,"Almond, dry roasted, salted",,"Savoury snacks/Salted nuts, seeds and kernels",,per 100g edible portion,2620,Automated calculation,,634,Automated calculation,,52.1,-,1002,4,-,156,32.4,-,1002,13,-,1002,0,-,156,10.3,Estimation,1003,4.9,-,156,0.7,-,156,10.9,-,1002,25.4,Estimation,1698,0.8,Automated calculation,,0,Estimation,51,2.5,-,1002,0,Automated calculation,,0,Automated calculation,,0,Estimation,51,0,Estimation,51,0,-,156,0.07,-,156,0.86,-,156,0.13,-,156,0,-,156,3.9,-,156,33,-,156,0.23,-,156,0,-,156,0,-,8,27.45,-,156,750,-,156,340,-,156,1190,-,8,270,-,156,290,-,156,490,-,156,4.5,-,156,2.4,-,156,3.5,-,156,n.d.,,,Nein
269,4497,832075,"Almond, roasted, salted",,"Savoury snacks/Salted nuts, seeds and kernels",,per 100g edible portion,2680,Automated calculation,,649,Automated calculation,,55.2,-,156,4.2,-,156,34.8,-,156,13.5,-,156,0,-,156,7.2,Estimation,51,4.6,-,156,0.6,-,156,10.5,-,156,25.6,Estimation,1698,0.8,Automated calculation,,0,Estimation,51,2.8,-,156,0,Automated calculation,,0,Automated calculation,,0,Estimation,51,1,Estimation,51,1,-,156,0.09,-,156,0.78,-,156,0.12,-,156,0,-,156,3.67,-,156,27,-,156,0.23,-,156,0,-,156,0,-,8,25.97,-,156,670,-,156;1542,330,-,156;1542,1190,-,8,240,-,156;1542,270,-,156;1542,470,-,156;1542,3.3,-,156;1542,2.4,-,8,3.1,-,156,n.d.,,,Nein
13398,,,"Amaranth, seed, cooked (without addition of fat and salt)",,"Cereal products, pulses and potatoes/Other cereal products",,per 100g edible portion,531,Automated calculation,,126,Automated calculation,,2.4,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,19.1,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,18.5,Calculation on the basis of ingredients,,3.7,Calculation on the basis of ingredients,,5.3,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,69.6,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.34,Calculation on the basis of ingredients,,16.2,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,150,Calculation on the basis of ingredients,,1.9,Calculation on the basis of ingredients,,36,Calculation on the basis of ingredients,,58,Calculation on the basis of ingredients,,84,Calculation on the basis of ingredients,,180,Calculation on the basis of ingredients,,3,Calculation on the basis of ingredients,,0.8,Calculation on the basis of ingredients,,1.2,Calculation on the basis of ingredients,,n.d.,,,Ja
13397,,,"Amaranth, seed, raw",,"Cereal products, pulses and potatoes/Other cereal products",,per 100g edible portion,1580,Automated calculation,,376,Automated calculation,,7,-,1631,1.5,-,1631,1.7,-,1631,2.8,-,1631,0,Estimation,1648,56.8,-,1640,1.7,-,1640,55.1,-,1640,11,-,1643,15.8,-,1640,0,Automated calculation,,0,Estimation,1677,11.1,-,1640,0,Automated calculation,,0,Automated calculation,,0,Estimation,1678,0,Estimation,1648,0,-,1631,0.08,-,1631;1642,0.19,-,1640,0.53,-,1642;1643,0,Estimation,1648,1.2,-,1640,64.3,-,1642;1643,0.95,-,1528;1642,4.2,-,1528,0,Estimation,1648,1.19,-,1631,480,-,1640,4,-,1631,110,-,1528,160,-,1631,250,-,1631,560,-,1631,9,-,1640,2.5,-,1528,3.7,-,1640,n.d.,,,Nein
868,3704,1001540,Amaretti (Almond cookie),,Sweets/Cookies/Biscuits,,per 100g edible portion,1920,Automated calculation,,456,Automated calculation,,12.4,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,7.9,Calculation on the basis of ingredients,,3.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,75.7,Calculation on the basis of ingredients,,75.7,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,8.7,Calculation on the basis of ingredients,,0.1,Automated calculation,,0,Calculation on the basis of ingredients,,1,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.19,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.54,Calculation on the basis of ingredients,,13.3,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,7.37,Calculation on the basis of ingredients,,220,Calculation on the basis of ingredients,,36,Calculation on the basis of ingredients,,49,Calculation on the basis of ingredients,,69,Calculation on the basis of ingredients,,62,Calculation on the basis of ingredients,,130,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,n.d.,,,Ja
10532,,,Anchovis paste,,Various/Spreads,,per 100g edible portion,1130,Automated calculation,,272,Automated calculation,,21.3,Calculation on the basis of ingredients,,4,Calculation on the basis of ingredients,,13.8,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,57,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,19.8,Calculation on the basis of ingredients,,19,Automated calculation,,0,Calculation on the basis of ingredients,,58.7,Automated calculation,,11,Automated calculation,,10,Automated calculation,,9,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.19,Calculation on the basis of ingredients,,0.28,Calculation on the basis of ingredients,,15.68,Calculation on the basis of ingredients,,2.93,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,0.47,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,5.51,Calculation on the basis of ingredients,,190,Calculation on the basis of ingredients,,7720,Calculation on the basis of ingredients,,6000,Calculation on the basis of ingredients,,220,Calculation on the basis of ingredients,,170,Calculation on the basis of ingredients,,210,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,25,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,n.d.,,,Ja
554,3895,1001075,"Appenzeller, at least 15% fidm",,Milk and dairy products/Hard cheese,,per 100g edible portion,985,Automated calculation,,235,Automated calculation,,11.4,-,177,6.8,-,177,2.7,-,177,0.5,-,177,34,-,177,0,Estimation,1408,0,Estimation,1408,0,-,22,0,-,22,33.1,Estimation,1662,2,Automated calculation,,0,-,22,48.2,-,177,142,Automated calculation,,136,Automated calculation,,130,-,127,70,-,127,n.d.,,,0.04,-,35,0.5,-,35;1659,0.07,-,35,1.3,-,35;1659,0.1,-,35,15,-,35,0.54,-,35;1659,tr.,-,22,0.3,-,35;1659,0.36,-,35,120,-,177,810,-,177,1240,-,177,1090,-,177,36,-,177,730,-,177,0.2,-,177,35,-,35,2.5,-,177,n.d.,,,Nein
